Марфа Васильевна Галкина;Вытегра;наб. Полтавская, д. 269;Кордиант;Корректор;8 633 052 31 18;anikitavoronov@mail.ru;1989-06-29;60458
Маслов Демьян Чеславович;Петрозаводск;ш. Свердлова, д. 565;ТГК-16;Писатель;+7 866 205 00 61;kuznetsovemmanuil@yandex.ru;1967-07-04;154532
Вера Макаровна Ефимова;Нижний Тагил;ш. Ленинградское, д. 49 к. 96;Шнейдер Электрик (Schneider Electric);Торговый представитель;8 (618) 357-35-49;marija_57@hotmail.com;1990-03-05;30460
Акулина Захаровна Наумова;Тамбей;пер. Логовой, д. 88 стр. 1;Нижфарм (Nidda Midco);Военный судья;+72021369018;mironovazinaida@yandex.ru;1981-02-15;120834
Нина Аскольдовна Зиновьева;Муравленко;бул. Прудовой, д. 455;ГК ТНС энерго;Автогонщик;8 (264) 784-4371;budimir_49@hotmail.com;1983-09-04;91782
Петрова Раиса Эдуардовна;Буденновск;ш. Интернациональное, д. 5/8 стр. 114;ГК Ташир;Постановщик трюков;+7 052 403 9607;gavrilovanina@yandex.ru;1981-10-24;62344
Анисим Филатович Лазарев;Орехово-Зуево;пр. Станционный, д. 5 к. 6/6;Сахалин Энерджи;Инженер-строитель;87551156887;dkoroleva@yahoo.com;1976-11-21;149071
Вадим Феоктистович Васильев;Плесецк;алл. Приозерная, д. 4 к. 265;Металлокомплект-М;Экономист;8 (955) 631-78-79;dementibeljaev@rambler.ru;1959-02-09;139163
Анжелика Игоревна Ковалева;Мытищи;ул. Кузнецкая, д. 632 стр. 30;Компания Трасса;Дизайнер;+7 (469) 672-88-41;juri1990@yandex.ru;1991-01-27;70870
Борис Феоктистович Рыбаков;Киржач;пер. Панфилова, д. 8;АБ Инбев Эфес (Anheuser-Busch Inbev);Лекальщик;+7 077 396 5017;baranovmoke@rambler.ru;1970-09-25;87808
Абрамова Маргарита Тимуровна;Александров Гай;ш. Ермака, д. 25;Петролеум Трейдинг;Доярка;8 (201) 111-13-45;eliseevaanzhelika@yandex.ru;1979-11-13;170691
